,AttachTable,CollectionType,EffectType
13,ConstructibleModifiers,COLLECTION_PLAYER_CITIES,"{'EFFECT_CITY_ADJUST_AVOID_RANDOM_EVENT', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_GRANT_WAREHOUSE_YIELD', 'TRIGGER_CITY_GRANT_YIELD_ON_CONSTRUCTIBLE_CREATED', 'EFFECT_CITY_ACTIVATE_CONSTRUCTIBLE_ADJACENCY', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_GROWTH', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_CITY_ADJUST_WORKER_CAP'}"
14,ConstructibleModifiers,COLLECTION_PLAYER_COMBAT,{'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}
15,ConstructibleModifiers,COLLECTION_PLAYER_DISTRICTS,{'EFFECT_DISTRICT_ADJUST_TOTAL_HEALTH'}
16,ConstructibleModifiers,COLLECTION_PLAYER_UNITS,"{'EFFECT_ADJUST_UNIT_SIGHT', 'EFFECT_ARMY_ADJUST_EXPERIENCE_RATE', 'EFFECT_UNIT_SET_TRADE_ROUTE_PROTECTED', 'EFFECT_UNIT_ADJUST_ABILITY'}"
17,ConstructibleModifiers,COLLECTION_SINGLE_PLOT_YIELDS,{'EFFECT_PLOT_ADJUST_YIELD'}
18,ConstructibleModifiers,City,"{'EFFECT_CITY_ADJUST_AVOID_RANDOM_EVENT', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'TRIGGER_CITY_GRANT_YIELD_ON_CONSTRUCTIBLE_CREATED', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_GROWTH'}"
19,ConstructibleModifiers,Combat,{'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}
20,ConstructibleModifiers,Owner,"{'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_GRANT_BUILDING_IN_CITY_ADJACENT_TO_TERRAIN', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_BUILDING_MODIFIER', 'EFFECT_CITY_ADJUST_GROWTH', 'EFFECT_GRANT_GREAT_WORK', 'EFFECT_CITY_ADJUST_YIELD_PER_SURPLUS_HAPPINESS', 'EFFECT_PLAYER_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_PLAYER_ATTRIBUTE', 'EFFECT_DIPLOMACY_GRANT_DIPLOMATIC_ACTION', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_COMPLETING_NARRATIVE_EVENTS', 'EFFECT_CITY_ADJUST_WORKER_CAP', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TOKEN_BONUS', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_IMPROVEMENT_MODIFIER'}"
21,ConstructibleModifiers,Plot,{'EFFECT_PLOT_ADJUST_YIELD'}
22,ConstructibleModifiers,Unit,"{'EFFECT_ADJUST_UNIT_SIGHT', 'EFFECT_ARMY_ADJUST_EXPERIENCE_RATE', 'EFFECT_UNIT_SET_TRADE_ROUTE_PROTECTED', 'EFFECT_UNIT_ADJUST_ABILITY'}"
23,EnterStageModifiers,COLLECTION_OWNER,"{'EFFECT_BLOCK_DIPLOMAITC_ACTION_GROUP_FOR_X_TURNS', 'EFFECT_DAE_ESPIONAGE_ADJUST_CITY_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_DAE_ESPIONAGE_GRANT_TARGET_COMMANDER_VISION', 'EFFECT_DAE_COMPLETE_APPLY_BEHAVIOR', 'EFFECT_PLAYER_DIPLOMACY_ACTION_BASIC_DIPLOMACY_MODS', 'EFFECT_DAE_SEND_GOLD', 'EFFECT_DO_NOTHING', 'EFFECT_PLAYER_DIPLOMACY_INCITE_RAID', 'EFFECT_ELEVATE_INDEPENDENT', 'EFFECT_DAE_INCORPORATE_CITY_STATE', 'EFFECT_DAE_DESCRIBE_INDEPENDENT_AND_TARGET', 'EFFECT_DAE_DESCRIBE_GRANT_FAVORS_GRIEVANCES', 'EFFECT_DAE_ESPIONAGE_STEAL_TREE_NODE', 'EFFECT_DAE_APPLY_NON_AGGRESSION_PACT', 'EFFECT_DAE_ESPIONAGE_SPAWN_TREASURE_FLEET', 'EFFECT_DAE_GRANT_CAPITAL_DISTRICT_VISION', 'EFFECT_DAE_GRANT_COOPERATIVE_YIELD_SUPPORT_BASE_PER_TURN', 'EFFECT_COMPLETE_LAND_CLAIM', 'EFFECT_DAE_ADJUST_SETTLEMENT_YIELD', 'EFFECT_DAE_LEVY_UNIT', 'EFFECT_DAE_TARGET_ATTACH_MODIFIER', 'EFFECT_DAE_COMPLETE_GRANT_FAVORS_GRIEVANCES', 'EFFECT_DAE_COOPERATIVE_ATTACH_MODIFIER', 'EFFECT_DAE_ESPIONAGE_ADJUST_CITY_PROJECT_PRODUCTION', 'EFFECT_DAE_ESPIONAGE_ATTACH_MODIFIER', 'EFFECT_DAE_ESPIONAGE_DESTROY_TARGET_INFRASTRUCTURE', 'EFFECT_PLAYER_GRANT_TRADITION_SLOTS', 'EFFECT_DAE_ESPIONAGE_BLOCK_CITY_GREAT_WORKS', 'EFFECT_DAE_TRADE_MAP', 'EFFECT_DAE_ESPIONAGE_DESTROY_TARGET_INFRASTRUCTURE_WITH_RESOURCE_TYPE', 'EFFECT_DAE_ESPIONAGE_CONVERT_SETTLEMENT', 'EFFECT_DAE_COMPLETE_IMPROVE_TRADE_RELATIONS', 'EFFECT_DAE_ESPIONAGE_DISABLE_SETTLEMENT_WORKERS', 'EFFECT_CHANGE_INDEPENDENT_INVESTMENT'}"
24,EnterStageModifiers,Owner,"{'EFFECT_BLOCK_DIPLOMAITC_ACTION_GROUP_FOR_X_TURNS', 'EFFECT_DAE_ESPIONAGE_GRANT_TARGET_COMMANDER_VISION', 'EFFECT_DAE_COMPLETE_APPLY_BEHAVIOR', 'EFFECT_PLAYER_DIPLOMACY_ACTION_BASIC_DIPLOMACY_MODS', 'EFFECT_DAE_SEND_GOLD', 'EFFECT_DO_NOTHING', 'EFFECT_PLAYER_DIPLOMACY_INCITE_RAID', 'EFFECT_ELEVATE_INDEPENDENT', 'EFFECT_DAE_INCORPORATE_CITY_STATE', 'EFFECT_DAE_DESCRIBE_INDEPENDENT_AND_TARGET', 'EFFECT_DAE_DESCRIBE_GRANT_FAVORS_GRIEVANCES', 'EFFECT_DAE_ESPIONAGE_STEAL_TREE_NODE', 'EFFECT_DAE_APPLY_NON_AGGRESSION_PACT', 'EFFECT_DAE_GRANT_CAPITAL_DISTRICT_VISION', 'EFFECT_DAE_GRANT_COOPERATIVE_YIELD_SUPPORT_BASE_PER_TURN', 'EFFECT_COMPLETE_LAND_CLAIM', 'EFFECT_DAE_ADJUST_SETTLEMENT_YIELD', 'EFFECT_DAE_LEVY_UNIT', 'EFFECT_DAE_TARGET_ATTACH_MODIFIER', 'EFFECT_DAE_COMPLETE_GRANT_FAVORS_GRIEVANCES', 'EFFECT_DAE_COOPERATIVE_ATTACH_MODIFIER', 'EFFECT_DAE_ESPIONAGE_ATTACH_MODIFIER', 'EFFECT_PLAYER_GRANT_TRADITION_SLOTS', 'EFFECT_DAE_TRADE_MAP', 'EFFECT_DAE_COMPLETE_IMPROVE_TRADE_RELATIONS', 'EFFECT_CHANGE_INDEPENDENT_INVESTMENT'}"
25,GameModifiers,COLLECTION_ALL_CAPITAL_CITIES,"{'EFFECT_CITY_ADJUST_YIELD_PER_AVAILABLE_RESOURCE_TYPE', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE'}"
26,GameModifiers,COLLECTION_ALL_CITIES,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE_CLASS', 'EFFECT_CITY_ADJUST_BIOME_WONDER_PRODUCTION_PER_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD_PER_AVAILABLE_RESOURCE_TYPE', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION_PER_SLOTTED_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD_PER_NUM_CITIES', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_SUZERAIN_OF_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'EFFECT_ADJUST_BUILDING_PRODUCTION_EFFICIENCY_PER_RESOURCE_TYPE', 'TRIGGER_CITY_GRANT_YIELD_ON_PROGRESSION_TREE_NODE_DEPTH_UNLOCKED', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_CITY_ADJUST_YIELD_PER_CONNECTED_CITY', 'EFFECT_CITY_ACTIVATE_CONSTRUCTIBLE_ADJACENCY', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION_PER_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION_PER_RESOURCE', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD_PER_RESOURCE', 'EFFECT_CITY_GRANT_GREAT_WORK', 'EFFECT_CITY_ADJUST_YIELD_PER_CITY_STATE_TRADE_ROUTE', 'EFFECT_CITY_ADJUST_GROWTH_PER_RESOURCE', 'TRIGGER_CITY_GRANT_YIELD_ON_CONSTRUCTIBLE_CREATED', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION_PER_SLOTTED_RESOURCE'}"
27,GameModifiers,COLLECTION_ALL_PLAYERS,"{'EFFECT_PLAYER_ADJUST_UNIT_PRODUCTION_PER_RESOURCE', 'EFFECT_PLAYER_ADJUST_YIELD_FROM_DISTATERS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE_TYPE', 'EFFECT_ADJUST_PLAYER_YIELD_PER_SLOTTED_RESOURCE', 'EFFECT_PLAYER_ADJUST_PURCHASE_EFFICIENCY_PER_RESOURCE'}"
28,GameModifiers,COLLECTION_ALL_PLOT_YIELDS,{'EFFECT_ATTACH_MODIFIERS'}
29,GameModifiers,COLLECTION_ALL_UNITS,"{'EFFECT_UNIT_ADJUST_HEAL_PER_TURN', 'EFFECT_TELEPORT_UNIT', 'EFFECT_UNIT_ADJUST_HEAL_PER_RESOURCE', 'EFFECT_UNIT_ADJUST_COMBAT_STRENGTH_PER_RESOURCE'}"
30,GameModifiers,COLLECTION_MAJOR_PLAYERS,{'EFFECT_ATTACH_MODIFIERS'}
31,GameModifiers,City,"{'EFFECT_ATTACH_MODIFIERS', 'TRIGGER_CITY_GRANT_YIELD_ON_PROGRESSION_TREE_NODE_DEPTH_UNLOCKED', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_SUZERAIN_OF_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION_PER_RESOURCE', 'TRIGGER_CITY_GRANT_YIELD_ON_CONSTRUCTIBLE_CREATED', 'EFFECT_CITY_ADJUST_BIOME_WONDER_PRODUCTION_PER_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD_PER_AVAILABLE_RESOURCE_TYPE', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD_PER_CITY_STATE_TRADE_ROUTE', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK'}"
32,GameModifiers,Player,"{'EFFECT_PLAYER_ADJUST_UNIT_PRODUCTION_PER_RESOURCE', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_PLAYER_ADJUST_YIELD_FROM_DISTATERS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE_TYPE', 'EFFECT_PLAYER_ADJUST_PURCHASE_EFFICIENCY_PER_RESOURCE'}"
33,GameModifiers,Plot,{'EFFECT_ATTACH_MODIFIERS'}
34,GameModifiers,Unit,"{'EFFECT_TELEPORT_UNIT', 'EFFECT_UNIT_ADJUST_COMBAT_STRENGTH_PER_RESOURCE'}"
35,GoldenAgeModifiers,COLLECTION_OWNER,"{'EFFECT_PLAYER_ADJUST_YIELD', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TOKEN_BONUS', 'EFFECT_DIPLOMACY_ADJUST_RELATIONSHIP_GAIN_FROM_EVENT', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TYPE_EFFICIENCY'}"
36,GoldenAgeModifiers,COLLECTION_PLAYER_CITIES,"{'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD'}"
37,GoldenAgeModifiers,COLLECTION_PLAYER_UNITS,{'EFFECT_UNIT_ADJUST_ABILITY'}
38,GoldenAgeModifiers,City,"{'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD'}"
39,GoldenAgeModifiers,Owner,{'EFFECT_PLAYER_ADJUST_YIELD'}
40,MementoModifiers,COLLECTION_OWNER,"{'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_RESPONSE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_PROGRESSION_TREE_MASTERY_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_COMPLETING_NARRATIVE_EVENTS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_NUM_TRADE_ROUTES', 'EFFECT_GRANT_UNIT_ON_SUCCESSFUL_UNDETECTED_ESPIONAGE_ACTION', 'EFFECT_PLAYER_ADJUST_SETTLEMENT_CAP', 'EFFECT_GRANT_RETURNED_CITIES_BONUS', 'EFFECT_DIPLOMACY_ADJUST_YIELD_PER_PLAYER_INVOLVED_ACTION', 'EFFECT_PLAYER_ADJUST_YIELD_PER_COMPLETED_MASTERY', 'EFFECT_PLAYER_ADJUST_YIELD_CONVERSION', 'EFFECT_PLAYER_GRANT_PROGRESSION', 'EFFECT_PLAYER_ATTRIBUTE', 'EFFECT_PLAYER_WAR_DIPLOMATIC_RELATIONSHIP_CHANGE', 'EFFECT_DIPLOMACY_ADJUST_YIELD_PER_PLAYER_RELATIONSHIP', 'EFFECT_PLAYER_GRANT_YIELD', 'EFFECT_PLAYER_ADJUST_TRADE_CAPACITY', 'EFFECT_PLAYER_ADJUST_YIELD_PER_COMMANDER_LEVEL', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_GOLDEN_AGE_START', 'EFFECT_ADJUST_PLAYER_OR_CITY_UNIT_PURCHASE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_UNIT_MAINTENANCE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_GOLDEN_AGE_DURATION', 'TRIGGER_PLAYER_ADJUST_YIELD_PER_ATTRIBUTE_TREE_UNLOCKED', 'EFFECT_PLAYER_ADJUST_YIELD_PER_CONQUERED_SETTLEMENT', 'EFFECT_PLAYER_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'TRIGGER_PLAYER_GRANT_YIELD_ON_MASTERY_COMPLETED', 'EFFECT_ADJUST_YIELD_FOR_ALLIES', 'EFFECT_PLAYER_GRANT_TRADITION_SLOTS', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_BECOMING_SUZERAIN', 'EFFECT_ADJUST_WAR_SUPPORT_BONUS', 'EFFECT_PLAYER_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_PLAYER_ADJUST_YIELD', 'TRIGGER_PLAYER_ADJUST_POPULATION_ON_CELEBRATION_STARTED'}"
41,MementoModifiers,COLLECTION_PLAYER_CAPITAL_CITY,"{'TRIGGER_CITY_GRANT_YIELD_ON_PROGRESSION_TREE_NODE_DEPTH_UNLOCKED', 'EFFECT_CITY_ADJUST_YIELD_PER_NUM_CITIES', 'EFFECT_CITY_ADJUST_YIELD_PER_SURPLUS_HAPPINESS', 'EFFECT_CITY_GRANT_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION'}"
42,MementoModifiers,COLLECTION_PLAYER_CITIES,"{'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_GRANT_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_GROWTH_PER_WORKER', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_CITY_ADJUST_YIELD_PER_SUZERAIN', 'EFFECT_PLAYER_GRANT_YIELD'}"
43,MementoModifiers,COLLECTION_PLAYER_COMBAT,"{'EFFECT_ADJUST_UNIT_POST_COMBAT_YIELD', 'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}"
44,MementoModifiers,COLLECTION_PLAYER_PLOT_YIELDS,"{'EFFECT_PLOT_ADJUST_WORKER_YIELD', 'EFFECT_PLOT_ADJUST_YIELD'}"
45,MementoModifiers,COLLECTION_PLAYER_UNITS,"{'EFFECT_ADJUST_UNIT_SIGHT', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_UNIT_LEVEL', 'EFFECT_GRANT_YIELD_PER_XP_EARNED', 'EFFECT_ADJUST_UNIT_SUZERAIN_OF_COMBAT_MODIFIER', 'EFFECT_UNIT_ADJUST_HEAL_PER_TURN', 'EFFECT_ADJUST_UNIT_FOCUSED_ATTACK_DAMAGE', 'EFFECT_UNIT_ADJUST_MOVEMENT', 'EFFECT_GRANT_UNIT_RESPAWN_CHARGE', 'EFFECT_ADJUST_UNIT_COMBAT_STRENGTH_PREVIOUS_ENGAGEMENT_KILL_BONUS', 'EFFECT_ARMY_ADJUST_RESPAWN_SPEED', 'EFFECT_ARMY_ADJUST_EXPERIENCE_RATE', 'EFFECT_UNIT_ADJUST_ABILITY', 'EFFECT_UNIT_ADJUST_PLAYER_YIELD', 'EFFECT_ADJUST_UNIT_COMBAT_STRENGTH_MULTIPLE_ADJACENT_ENEMIES_MODIFIER'}"
46,MementoModifiers,City,"{'TRIGGER_CITY_GRANT_YIELD_ON_PROGRESSION_TREE_NODE_DEPTH_UNLOCKED', 'EFFECT_CITY_ADJUST_YIELD_PER_NUM_CITIES', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD_PER_SURPLUS_HAPPINESS', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_GRANT_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_GROWTH_PER_WORKER', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_CITY_ADJUST_YIELD_PER_SUZERAIN', 'EFFECT_PLAYER_GRANT_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION'}"
47,MementoModifiers,Combat,"{'EFFECT_ADJUST_UNIT_POST_COMBAT_YIELD', 'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}"
48,MementoModifiers,Owner,"{'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_RESPONSE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_PROGRESSION_TREE_MASTERY_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_COMPLETING_NARRATIVE_EVENTS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_NUM_TRADE_ROUTES', 'EFFECT_GRANT_UNIT_ON_SUCCESSFUL_UNDETECTED_ESPIONAGE_ACTION', 'EFFECT_PLAYER_ADJUST_SETTLEMENT_CAP', 'EFFECT_GRANT_RETURNED_CITIES_BONUS', 'EFFECT_DIPLOMACY_ADJUST_YIELD_PER_PLAYER_INVOLVED_ACTION', 'EFFECT_PLAYER_ADJUST_YIELD_PER_COMPLETED_MASTERY', 'EFFECT_PLAYER_ADJUST_YIELD_CONVERSION', 'EFFECT_PLAYER_GRANT_PROGRESSION', 'EFFECT_PLAYER_ATTRIBUTE', 'EFFECT_PLAYER_WAR_DIPLOMATIC_RELATIONSHIP_CHANGE', 'EFFECT_DIPLOMACY_ADJUST_YIELD_PER_PLAYER_RELATIONSHIP', 'EFFECT_PLAYER_GRANT_YIELD', 'EFFECT_PLAYER_ADJUST_TRADE_CAPACITY', 'EFFECT_PLAYER_ADJUST_YIELD_PER_COMMANDER_LEVEL', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_GOLDEN_AGE_START', 'EFFECT_ADJUST_PLAYER_OR_CITY_UNIT_PURCHASE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_UNIT_MAINTENANCE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_GOLDEN_AGE_DURATION', 'TRIGGER_PLAYER_ADJUST_YIELD_PER_ATTRIBUTE_TREE_UNLOCKED', 'EFFECT_PLAYER_ADJUST_YIELD_PER_CONQUERED_SETTLEMENT', 'EFFECT_PLAYER_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'TRIGGER_PLAYER_GRANT_YIELD_ON_MASTERY_COMPLETED', 'EFFECT_ADJUST_YIELD_FOR_ALLIES', 'EFFECT_PLAYER_GRANT_TRADITION_SLOTS', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_BECOMING_SUZERAIN', 'EFFECT_ADJUST_WAR_SUPPORT_BONUS', 'EFFECT_PLAYER_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_PLAYER_ADJUST_YIELD', 'TRIGGER_PLAYER_ADJUST_POPULATION_ON_CELEBRATION_STARTED'}"
49,MementoModifiers,Plot,"{'EFFECT_PLOT_ADJUST_WORKER_YIELD', 'EFFECT_PLOT_ADJUST_YIELD'}"
